                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.522,                 1.5203,                 1.5931,                0.00347,                      1,                0.04975,                0.00754,                 4.0954,                 2.1282,                 3.0167,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4677,                 1.3861,                 1.5736,                0.12842,                    0.5,                0.08297,                0.03319,                 3.0051,                   2.24,                 2.3194,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.6049,                 1.4476,                 1.6334,                0.44326,                0.44326,                  0.248,                0.10095,                 2.4565,                 2.2076,                 2.0281,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.6081,                  1.441,                 1.5759,                0.63721,                    0.5,                   0.62,                0.46161,                 2.0623,                 2.2172,                 1.8218,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.5372,                 1.3578,                 1.6046,                0.91398,                    0.5,                0.63786,                 0.4427,                 1.9326,                 2.1775,                 1.6721,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.6332,                 1.5346,                 1.7831,                0.94494,                    0.5,                0.56167,                 0.4724,                 1.3966,                 1.7949,                  1.324,              0.0016238,              0.0016238,              0.0016238
                     41,                  1.367,                 1.3538,                  1.506,                0.93597,                    0.5,                0.66167,                0.51244,                 1.3726,                 1.4769,                 1.3255,              0.0016139,              0.0016139,              0.0016139
                     42,                  1.495,                 1.4089,                 1.6385,                0.92396,                    0.5,                  0.595,                0.39328,                  1.592,                  1.722,                 1.3811,               0.001604,               0.001604,               0.001604
                     43,                 1.4682,                 1.3293,                 1.5932,                0.99676,                      1,                  0.995,                0.41751,                 1.7024,                 1.8643,                 1.5061,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5304,                 1.4278,                 1.5769,                      1,                0.97641,                  0.995,                0.51429,                 2.0989,                 1.6711,                  1.608,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.4376,                 1.3074,                 1.5018,                0.59418,                      1,                0.82833,                0.43046,                 2.0299,                 1.6845,                 1.5716,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.3194,                 1.2556,                 1.4789,                0.74108,                    0.5,                0.50426,                0.30256,                    2.2,                 2.8974,                 2.1039,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.3929,                 1.3046,                 1.5565,                0.47138,                    0.5,                0.25886,                0.09269,                 2.3784,                  3.769,                 2.5323,              0.0015545,              0.0015545,              0.0015545
